district_id,district,school_id,school,grade,scheduled_start,actual_start,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,survey_date
608,Bartow County,106,Pine Log Elementary,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,107,Euharlee Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,114,Cass High School,09-12 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,115,Cloverleaf Elementary,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,175,White Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,177,Adairsville Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,186,Mission Road Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,190,Red Top Middle School,06-08 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,195,Cass Middle School,06-08 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,196,Allatoona Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,198,Woodland High School,09-12 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
